date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
2020-02-03,RB,apartment,A,3,1,1,0,0,1,0,140.0,0,1,0,450
2020-02-03,RB,apartment,B,3,3,1,1,1,1,1,140.0,0,0,1,600
2020-02-03,RB,apartment,B,2,2,1,1,0,0,0,110.0,0,0,1,400
2020-02-04,RB,apartment,B,3,3,1,1,1,1,1,140.0,0,0,1,600
2020-02-03,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,1,0,1900
2020-02-05,RB,apartment,A,2,1,1,1,1,1,0,140.0,0,1,0,2000
2020-02-04,RB,apartment,B,3,3,1,0,1,1,0,150.0,0,0,1,450
2020-02-04,B,apartment,B,2,1,1,2,0,0,0,70.0,0,1,0,1200
2020-02-05,RB,apartment,B,2,2,1,0,0,0,0,0.0,0,1,0,400
2020-02-04,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,500
2020-02-08,RB,apartment,A,1,2,1,0,1,1,1,140.0,0,1,0,1600
2020-02-04,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,500
2020-02-04,RB,apartment,B,2,2,1,2,0,0,0,130.0,0,0,1,450
2020-02-04,RB,apartment,A,3,3,1,1,1,1,0,150.0,0,0,1,600
2020-02-19,T,apartment,C,3,1,1,1,1,1,0,120.0,0,1,0,1300
2020-02-04,N,apartment,A,3,2,1,2,1,1,0,140.0,1,0,0,3300
2020-02-04,RB,apartment,A,3,3,1,2,1,1,0,180.0,0,0,1,800
2020-02-04,RB,apartment,A,3,3,1,3,1,1,1,165.0,0,0,1,800
2020-02-05,N,apartment,A,3,2,1,1,0,0,0,140.0,0,1,0,600
2020-02-04,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,1,0,1900
2020-02-04,RB,apartment,A,2,2,1,1,1,1,0,120.0,0,0,1,500
2020-02-04,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,500
2020-02-04,RB,apartment,A,3,3,1,1,1,1,1,160.0,0,0,1,800
2020-02-04,RB,apartment,A,2,1,1,1,0,1,0,120.0,0,0,1,600
2020-02-04,RB,apartment,A,1,1,1,0,0,0,0,140.0,0,0,1,350
2020-02-04,RB,apartment,A,2,2,1,1,1,1,0,120.0,0,1,0,2200
2020-02-04,RB,apartment,B,3,2,1,1,1,1,0,155.0,0,0,1,500
2020-02-04,RB,apartment,A,3,2,1,1,1,1,0,155.0,0,0,1,600
2020-02-07,RB,apartment,A,2,2,1,1,1,1,1,170.0,0,0,1,1100
2020-02-04,RB,apartment,B,1,1,1,1,1,1,0,140.0,0,1,0,900
2020-02-05,RB,apartment,A,3,1,1,0,1,0,0,90.0,0,0,1,700
2020-02-05,RB,apartment,A,2,2,1,0,1,1,0,130.0,0,0,1,500
2020-02-08,RB,apartment,B,3,1,1,0,0,0,0,280.0,0,0,1,600
2020-02-05,RB,apartment,A,2,2,1,2,1,1,1,110.0,0,0,1,800
2020-02-10,N,apartment,A,2,2,1,1,0,0,0,90.0,0,1,0,2400
