city,status,numberRooms,numberBathrooms,numberBalconies,houseSpace,elevator,carParking,heating,featurePlus,featurePlus2,Bldg_A,Bldg_B,MedstatusHouseSpace,city_encoded,priceUS
1,2,1,1,0,0.0,0,0,0,1.0,1.0,0,0,130.0,1508.2965041390216,330.0
1,2,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,2,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,600.0
1,1,1,1,0,0.0,0,0,0,1.0,1.0,0,0,100.0,1508.2965041390216,350.0
1,1,3,3,1,180.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,700.0
1,2,3,3,1,160.0,1,1,1,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,2,2,2,1,110.0,0,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,400.0
1,1,1,1,1,0.0,1,1,0,1.0,2.0,1,0,100.0,1508.2965041390216,550.0
1,1,2,1,1,120.0,0,1,0,0.5,1.0,1,0,100.0,1508.2965041390216,450.0
3,1,1,1,0,25.0,1,1,1,1.0,1.0,0,0,100.0,3107.09112274828,300.0
1,1,1,1,2,70.0,1,1,1,1.0,3.0,2,0,100.0,1508.2965041390216,550.0
1,1,3,2,0,115.0,1,1,0,0.6666666666666666,0.6666666666666666,0,0,100.0,1508.2965041390216,540.0
1,1,1,1,1,0.0,0,0,0,1.0,2.0,1,0,100.0,1508.2965041390216,500.0
3,2,3,3,1,150.0,0,0,0,1.0,1.3333333333333333,0,1,130.0,3107.09112274828,600.0
1,1,3,3,2,180.0,1,1,1,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,950.0
1,1,3,3,2,190.0,1,1,1,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,1000.0
1,2,3,2,2,300.0,0,0,0,0.6666666666666666,1.3333333333333333,0,2,130.0,1508.2965041390216,450.0
1,2,2,1,0,100.0,0,0,0,0.5,0.5,0,0,130.0,1508.2965041390216,300.0
1,2,3,2,0,0.0,1,1,0,0.6666666666666666,0.6666666666666666,0,0,130.0,1508.2965041390216,500.0
1,1,3,1,0,0.0,1,0,0,0.3333333333333333,0.3333333333333333,0,0,100.0,1508.2965041390216,700.0
1,2,4,2,2,160.0,1,1,0,0.5,1.0,0,2,130.0,1508.2965041390216,450.0
1,2,2,2,1,140.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,480.0
1,1,3,2,2,170.0,1,1,1,0.6666666666666666,1.3333333333333333,2,0,100.0,1508.2965041390216,500.0
