date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,houseSpace,elevator,carParking,heating,priceUS
2020-02-06,B,apartment,A,3,2,1,2,180.0,0,1,1,1100.0
2020-02-06,RB,apartment,A,3,3,1,1,160.0,1,1,0,700.0
2020-02-06,N,apartment,C,3,2,1,3,144.0,1,0,0,4935.0
2020-02-06,RB,apartment,A,1,3,1,0,50.0,1,1,1,550.0
2020-02-11,RB,apartment,B,2,3,1,1,,1,1,1,550.0
2020-02-06,RB,apartment,B,2,2,1,1,,1,1,0,450.0
2020-02-06,RB,apartment,B,3,2,1,1,,1,1,0,500.0
2020-02-06,RB,Roof,A,3,2,1,1,165.0,0,0,0,600.0
2020-02-06,RB,apartment,A,3,3,1,1,180.0,0,0,1,700.0
2020-02-06,RB,apartment,B,2,1,1,0,,0,0,0,400.0
2020-02-06,RB,apartment,C,2,1,1,0,120.0,0,0,0,300.0
2020-02-08,T,apartment,C,3,2,1,1,100.0,0,1,0,240.0
2020-02-06,RB,apartment,A,3,2,1,1,160.0,1,1,0,600.0
2020-02-06,RB,apartment,B,3,2,1,1,162.0,1,1,0,500.0
2020-02-06,RB,apartment,A,3,3,1,1,165.0,1,1,0,600.0
2020-02-06,RB,apartment,A,1,1,1,1,80.0,1,1,0,550.0
2020-02-06,RB,apartment,A,1,2,1,0,100.0,0,0,0,500.0
2020-02-06,RB,apartment,A,3,3,1,1,160.0,1,1,1,600.0
2020-02-08,RB,apartment,A,3,2,1,1,140.0,1,1,0,700.0
2020-02-06,RB,apartment,A,1,1,1,0,,1,1,0,400.0
2020-02-16,RB,apartment,B,2,1,1,0,,1,1,0,330.0
2020-02-06,RB,apartment,B,2,2,1,1,,0,0,0,400.0
2020-02-06,H,apartment,B,3,2,1,1,175.0,0,1,1,4935.0
2020-02-06,RB,apartment,A,3,2,1,1,123.0,1,1,0,690.0
2020-02-06,N,apartment,A,3,2,1,0,,0,0,0,480.0
2020-02-08,B,apartment,B,3,2,1,1,150.0,0,0,0,480.0
2020-02-08,RB,apartment,A,3,2,1,1,130.0,1,1,0,750.0
2020-02-06,RB,apartment,A,2,1,1,1,,0,0,0,350.0
2020-02-08,T,apartment,B,3,1,1,1,150.0,1,1,0,3666.0
2020-02-16,RB,apartment,A,2,1,1,1,80.0,1,1,0,600.0
2020-02-19,JR,apartment,B,2,2,1,1,140.0,1,0,0,540.0
2020-02-08,JR,apartment,B,3,3,1,0,165.0,1,0,0,600.0
2020-02-08,N,apartment,A,1,1,1,1,,1,1,0,180.0
2020-02-08,RB,apartment,A,2,2,2,0,,1,1,0,600.0
2020-02-08,B,apartment,A,1,2,2,0,25.0,1,1,1,300.0
2020-02-07,RB,apartment,A,2,2,2,1,110.0,1,1,1,240.0
2020-02-10,B,apartment,A,3,2,1,0,,0,1,0,420.0
2020-02-19,T,apartment,C,3,2,1,2,110.0,0,1,0,300.0
2020-02-08,RB,apartment,B,1,1,1,1,80.0,0,1,0,300.0
2020-02-08,RB,apartment,B,2,2,1,2,130.0,1,0,0,330.0
2020-02-08,RB,apartment,B,3,3,1,1,150.0,1,1,0,500.0
2020-02-08,RB,apartment,B,3,2,1,1,140.0,1,1,0,500.0
2020-02-08,RB,apartment,A,2,2,1,1,120.0,1,1,0,600.0
2020-02-09,N,apartment,A,1,1,1,0,120.0,0,1,0,330.0
2020-02-08,RB,apartment,A,3,2,1,2,,0,0,0,450.0
2020-02-08,N,Roof,A,2,1,1,2,,0,1,0,180.0
2020-02-08,RB,apartment,B,3,2,1,1,140.0,1,1,0,500.0
2020-02-16,RB,apartment,A,1,1,1,1,70.0,1,1,1,550.0
2020-02-08,RB,apartment,B,2,2,1,1,,1,1,0,450.0
2020-02-08,RB,apartment,B,2,2,1,1,,1,1,0,450.0
2020-02-08,RB,Roof,A,2,1,1,1,,1,1,0,600.0
2020-02-08,RB,apartment,A,1,1,0,1,16.0,1,1,0,360.0
2020-02-08,JR,apartment,B,3,1,1,2,140.0,0,0,0,360.0
2020-02-08,RB,apartment,A,3,2,1,1,140.0,1,1,0,700.0
2020-02-08,RB,apartment,B,3,2,1,1,160.0,1,1,0,600.0
2020-02-08,RB,apartment,A,1,2,1,1,16.0,0,1,0,165.0
2020-02-08,RB,apartment,A,3,3,1,1,150.0,1,1,0,550.0
2020-02-08,RB,apartment,A,2,2,1,1,140.0,0,1,1,500.0
2020-02-08,RB,apartment,A,3,2,1,1,165.0,1,1,1,700.0
2020-02-08,RB,apartment,A,2,2,1,1,145.0,1,1,1,650.0
2020-02-08,RB,apartment,A,3,2,1,1,155.0,0,0,0,180.0
2020-02-08,RB,apartment,A,1,2,1,0,100.0,0,0,0,500.0
2020-02-09,RB,apartment,B,3,2,1,2,180.0,0,0,0,495.0
2020-02-09,RB,apartment,A,3,2,1,0,120.0,1,0,0,99.0
2020-02-19,RB,apartment,B,2,2,1,2,140.0,1,1,0,330.0
2020-02-09,H,apartment,C,3,2,1,2,130.0,0,1,0,4935.0
2020-02-09,RB,apartment,A,3,2,1,1,150.0,1,1,1,600.0
2020-02-09,RB,apartment,B,3,3,1,2,172.0,1,1,0,650.0
2020-02-09,RB,apartment,A,1,1,1,0,,1,1,0,400.0
2020-02-09,RB,apartment,A,1,1,1,0,,1,1,0,400.0
2020-02-09,RB,apartment,B,1,1,1,0,,1,1,0,270.0
2020-02-09,RB,apartment,B,1,1,1,1,100.0,0,1,0,300.0
2020-02-09,N,apartment,A,4,2,1,3,170.0,1,1,0,750.0
2020-02-09,RB,apartment,A,3,2,1,1,,1,1,0,600.0
2020-02-09,RB,apartment,A,3,3,1,2,175.0,1,1,1,800.0
2020-02-09,B,apartment,A,3,2,1,1,148.0,1,1,0,750.0
2020-02-09,RB,apartment,B,2,2,1,1,122.0,1,1,0,500.0
2020-02-09,T,apartment,B,2,1,1,0,100.0,0,0,0,300.0
2020-02-09,RB,apartment,A,2,3,1,1,170.0,1,1,1,1100.0
2020-02-09,RB,apartment,B,2,2,1,1,140.0,1,1,0,450.0
2020-02-09,RB,apartment,A,3,3,1,1,170.0,1,1,1,1100.0
2020-02-09,RB,apartment,B,2,2,1,1,110.0,0,0,0,400.0
2020-02-09,RB,apartment,B,1,1,1,0,,1,1,0,350.0
2020-02-09,RB,apartment,B,3,3,1,3,200.0,0,1,0,390.0
2020-02-10,N,apartment,C,1,1,1,1,80.0,0,1,0,2115.0
2020-02-11,JN,apartment,A,1,1,1,1,,1,1,0,300.0
2020-02-10,RB,apartment,B,2,1,1,1,88.0,1,1,0,360.0
2020-02-10,RB,apartment,B,2,1,1,1,,0,0,0,390.0
2020-02-10,T,apartment,B,3,1,1,0,140.0,0,0,0,255.0
2020-02-10,RB,apartment,A,3,3,1,2,,1,1,1,850.0
2020-02-10,RB,apartment,A,2,1,1,1,100.0,1,1,1,650.0
2020-02-10,RB,apartment,B,3,2,1,1,160.0,1,1,0,600.0
2020-02-10,RB,apartment,A,2,2,1,1,120.0,1,1,0,600.0
2020-02-10,RB,apartment,B,1,1,1,0,45.0,1,1,0,340.0
2020-02-10,RB,apartment,B,3,2,1,1,170.0,1,1,1,500.0
2020-02-10,RB,apartment,A,2,1,1,1,118.0,1,1,0,600.0
2020-02-10,RB,apartment,A,1,1,1,1,,1,1,0,550.0
2020-02-10,RB,apartment,A,3,2,1,1,140.0,1,1,0,700.0
2020-02-10,RB,apartment,D,3,1,1,1,,0,0,0,90.0
2020-02-11,RB,apartment,A,2,3,1,0,,1,1,0,570.0
2020-02-11,RB,apartment,B,3,3,1,1,155.0,1,1,0,500.0
2020-02-16,RB,apartment,B,1,2,1,0,,0,0,0,330.0
2020-04-27,RB,apartment,A,3,2,1,2,145.0,0,1,0,800.0
2020-02-11,RB,apartment,B,3,3,1,1,,0,1,0,1000.0
2020-02-11,RB,apartment,B,3,2,1,2,180.0,0,1,0,450.0
2020-02-11,RB,apartment,A,1,1,1,1,60.0,0,0,0,300.0
2020-02-11,RB,apartment,B,2,1,1,1,100.0,0,0,0,210.0
2020-02-15,RB,apartment,A,3,2,1,1,135.0,1,1,0,600.0
2020-02-11,RB,apartment,A,3,3,1,1,165.0,1,1,1,700.0
2020-02-11,RB,apartment,A,3,3,1,1,,1,1,0,500.0
2020-02-11,RB,apartment,A,1,1,1,1,,0,0,0,450.0
2020-02-11,RB,apartment,B,2,2,1,2,140.0,0,1,1,500.0
2020-02-11,RB,apartment,A,3,2,1,1,,1,1,0,550.0
2020-02-11,RB,apartment,B,3,2,1,5,220.0,0,1,1,600.0
2020-02-11,RB,apartment,A,4,2,1,1,155.0,0,1,1,700.0
2020-02-16,RB,apartment,A,1,2,1,1,16.0,0,1,0,165.0
2020-02-11,RB,apartment,B,3,2,1,1,138.0,1,1,0,500.0
2020-02-11,RB,apartment,B,3,2,1,1,140.0,1,1,0,450.0
2020-02-11,RB,apartment,B,3,3,1,1,160.0,1,1,1,600.0
2020-02-11,RB,apartment,B,3,2,1,1,160.0,1,1,0,550.0
2020-02-11,RB,apartment,A,3,2,1,1,160.0,1,1,0,600.0
2020-02-11,RB,apartment,A,3,3,1,1,1.0,1,1,0,700.0
2020-02-11,RB,apartment,A,2,3,1,1,1.0,1,1,0,700.0
2020-02-11,RB,apartment,A,1,1,1,0,,1,1,0,360.0
2020-02-12,T,apartment,A,1,1,1,0,,0,0,0,330.0
2020-02-12,RB,apartment,B,3,1,1,0,120.0,0,0,0,450.0
2020-02-12,RB,apartment,B,2,1,1,1,,0,0,0,360.0
