date,houseId,category,city,address,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,loungeType,houseSpace,landArea,elevator,carParking,heating,price,priceType
2020-02-01 ,240125,للايجار,طولكرم, - فرعون,شقة,مشطب ,ثلاث غرف ,-2 ,-1 ,-2 ,صالة ,-110,-1, ,نعم , ,12000,شيكل
2020-02-04 ,240126,للبيع,طولكرم, -  مدينة طولكرم,رووف,مشطب ,اربع غرف ,-3 ,-1 ,-1 ,صالة كبيرة ,-320,550, ,نعم , ,80000,دينار
2020-02-01 ,240127,منفصل,طولكرم, - بيت ليد,منزل,مشطب ,أكثر من خمس غرف ,4 ,3 ,4 ,٣ صالات  ,188,670, ,نعم , ,270,دينار
2020-02-01 ,240129,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالة وصالون ,150, ,نعم ,نعم , ,550,دولار
2020-02-01 ,240130,للبيع,نابلس, -  مدينة نابلس,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,2 ,صالون واسع جدا ممكن يعمل غرفة اضافية ,150,350, , , ,42000,دينار
2020-02-01 ,240131,للبيع,رام الله والبيرة, - عين سينا,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,2 , , , ,نعم ,نعم , ,106000,دولار
2020-02-11 ,240132,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,3 ,1 ,1 ,نعم ,165, ,نعم ,نعم , ,650,دولار
2020-02-01 ,240133,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,غرفتين ,2 ,1 ,2 ,صالة وصالون ,130, , , , ,1600,شيكل
2020-02-01 ,240134,للايجار,رام الله والبيرة, - بيتونيا,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,3 ,نعم ,180, , , , ,1300,شيكل
2020-02-01 ,240135,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,2 ,يوجد.  ,170, ,نعم ,نعم , ,1500,شيكل
2020-02-01 ,240136,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,2 ,صالة وصالون ,160, ,نعم ,نعم , ,1600,شيكل
2020-02-01 ,240137,للبيع,طولكرم, - ذنابة,شقة,عظم ,اربع غرف ,2 ,1 ,1 ,نعم ,120,50,نعم ,نعم , ,42000,دينار
2020-02-01 ,240138,للبيع,الخليل, -  مدينة الخليل,شقة,عظم ,اربع غرف ,2 ,1 ,1 ,صالة متوسطة ,140, , ,نعم , ,40.000,دينار
2020-02-01 ,240139,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,غرفة واحدة - ستوديو ,2 ,1 ,1 ,يوجد , , , , , ,400,دولار
2020-02-01 ,240140,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,2 ,1 , ,نعم , , , , , ,200,دولار
2020-02-01 ,240141,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 , ,210,210,نعم ,نعم , ,165000,دولار
2020-02-01 ,240142,للبيع,رام الله والبيرة, - كفر عقب,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالون وصالة  ,170,170,نعم ,نعم , ,360000,شيكل
2020-02-01 ,240143,للبيع,رام الله والبيرة, -  مدينة البيرة,شقة,عظم ,اربع غرف ,3 ,1 ,2 ,صالون وصالة  ,200,200,نعم ,نعم , ,230000,شيكل
2020-02-01 ,240144,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,غير مفروشة ,خمس غرف ,2 ,1 ,1 ,يوجد صالة ,120, , , , ,1400,شيكل
2020-02-02 ,240145,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,غرفتين ,2 ,1 ,0 , ,125, , ,نعم , ,110000,دولار
2020-02-01 ,240146,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,1 ,صالة واسعة ,140, ,نعم , , ,1900,شيكل
2020-02-01 ,240148,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,1 ,صالون كبير مفتوح ع المطبخ ,123, ,نعم ,نعم ,نعم ,100.000,دولار
2020-02-01 ,240149,للبيع,بيت لحم, -  مدينة بيت لحم,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,2 ,صاله وصالون  ,130, ,نعم ,نعم ,نعم ,130000,دولار
