,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
726,140,0,1,0,2500
727,180,1,0,0,3500
728,150,1,0,0,3000
729,170,0,0,1,1200
730,135,0,1,0,1700
731,140.0,0,0,1,700
732,140.0,0,0,1,800
733,110,0,1,0,1000
734,160,0,0,1,850
735,140.0,1,0,0,2200
736,140.0,0,0,1,750
737,110,0,0,1,600
738,140,0,1,0,1700
739,210,0,0,1,1000
740,160,0,0,1,500
741,150,0,0,1,750
742,145,0,0,1,700
743,130,0,1,0,1100
744,115,0,0,1,700
745,170,0,1,0,1200
746,140.0,0,0,1,500
747,140.0,0,1,0,1000
748,110,0,1,0,800
749,125,0,1,0,1100
750,130,0,0,1,550
751,250,0,1,0,450
752,140.0,1,0,0,2300
753,166,0,1,0,1000
754,100,0,1,0,1500
755,140.0,0,1,0,2000
756,140.0,0,0,1,900
757,50,0,1,0,1200
758,140,0,1,0,1400
759,165,1,0,0,50000
760,160,0,0,1,800
761,130,0,1,0,1500
762,140.0,0,1,0,1100
763,175,0,0,1,550
764,110,0,0,1,700
765,110,0,0,1,500
766,165,0,1,0,1200
767,145,0,1,0,1200
768,150,0,0,1,650
769,130,0,1,0,1500
770,110,0,0,1,600
771,110,1,0,0,2000
772,100,0,1,0,1450
773,110,1,0,0,1500
774,150,0,0,1,500
775,168,1,0,0,3500
776,140.0,0,0,1,400
777,150,0,1,0,1700
778,140.0,0,0,1,100
779,140.0,1,0,0,350
780,100,0,1,0,1000
781,140.0,0,0,1,450
782,155,0,0,1,700
783,140.0,0,0,1,800
784,160,0,0,1,800
785,140.0,0,0,1,450
786,140.0,0,1,0,1000
787,145,0,0,1,500
788,160,0,0,1,600
789,160,0,0,1,1100
790,180,0,0,1,1100
791,90,0,0,1,550
792,140,0,1,0,1700
793,160,0,0,1,550
794,140.0,0,1,0,450
795,115,0,0,1,700
796,130,0,1,0,1200
797,130,0,1,0,1100
798,130,0,1,0,1500
799,135,1,0,0,200
800,140.0,0,0,1,140000
801,170,0,0,1,450
802,120,0,0,1,500
803,120,0,0,1,650
804,140.0,0,1,0,1200
805,120,0,0,1,850
806,170,0,0,1,600
807,145,0,1,0,1000
808,175,0,0,1,550
809,170,0,0,1,500
810,140.0,0,0,1,500
811,140.0,0,0,1,650
812,60,0,1,0,1100
813,130,0,1,0,1700
814,140.0,0,0,1,350
815,180,0,1,0,3000
816,120,0,1,0,1300
817,150,1,0,0,2500
818,100,0,0,1,650
819,50,0,1,0,950
820,110,0,0,1,500
821,140.0,0,1,0,1800
822,140.0,1,0,0,1500
823,180,0,0,1,235000
824,170,0,0,1,1000
825,88,0,1,0,1200
826,130,0,1,0,2000
827,145,0,1,0,2500
828,110,0,0,1,450
829,110,0,0,1,650
830,140.0,0,1,0,700
831,145,0,0,1,650
832,130,0,0,1,500
833,150,0,1,0,2600
834,180,0,0,1,750
835,70,0,1,0,1000
836,70,0,1,0,1100
837,140.0,0,1,0,1400
838,130,0,1,0,1000
839,110,0,1,0,1500
840,150,0,0,1,550
841,125,0,1,0,1200
842,150,0,1,0,2200
843,105,0,1,0,1000
844,130,0,0,1,750
845,150,0,1,0,400
846,180,0,1,0,800
847,150,0,0,1,450
848,140,0,1,0,2200
849,140.0,0,1,0,2000
850,110,0,1,0,10800
851,150,0,0,1,450
852,140,0,0,1,500
853,150,0,0,1,650
854,120,0,0,1,450
855,115,0,1,0,13200
856,140.0,1,0,0,1700
857,140.0,0,1,0,1900
858,90,0,1,0,1400
859,140.0,0,0,1,450
860,120,0,0,1,350
861,140.0,0,0,1,320
862,140.0,0,1,0,950
863,120,0,0,1,500
864,25,0,1,0,750
865,140,0,0,1,600
866,125,0,0,1,650
867,140.0,0,0,1,350
868,16,0,1,0,550
869,155,0,0,1,600
870,120,1,0,0,2500
871,140.0,0,1,0,350
872,140.0,0,0,1,350
873,150,0,0,1,450
874,140.0,0,1,0,1300
875,60,0,0,1,550
876,140.0,0,1,0,1100
877,117,1,0,0,3400
878,124,0,0,1,500
879,140.0,0,0,1,300
880,140.0,0,1,0,1500
881,140,0,1,0,3000
882,150,0,0,1,600
883,160,0,0,1,600
884,165,1,0,0,3000
885,60,0,0,1,350
886,120,0,0,1,450
887,140,0,0,1,600
888,125,0,0,1,400
889,160,0,0,1,600
890,140.0,0,0,1,800
891,140.0,0,0,1,800
892,170,0,0,1,450
893,110,0,0,1,700
894,140.0,0,0,1,650
895,110,0,0,1,650
896,180,0,0,1,700
897,140.0,0,1,0,1400
898,160,0,1,0,1450
899,70,0,1,0,1800
900,90,0,0,1,400
901,85,0,0,1,400
902,135,0,1,0,1500
903,1,0,0,1,125
904,140.0,1,0,0,3000
905,135,0,0,1,400
906,140.0,0,0,1,500
907,150,0,1,0,1500
908,155,0,1,0,2000
909,140.0,0,0,1,600
910,130,0,0,1,400
911,150,0,0,1,600
912,140.0,0,1,0,1500
913,90,0,1,0,200
914,140.0,0,0,1,900
915,140.0,0,0,1,500
916,180,0,0,1,700
917,160,0,0,1,600
918,150,0,1,0,1300
919,110,0,0,1,550
920,140.0,0,0,1,350
921,110,0,1,0,15000
922,120,0,1,0,2000
923,140.0,0,0,1,600
924,140.0,0,0,1,600
925,140.0,0,1,0,2600
926,145,0,0,1,600
927,130,0,1,0,1000
928,140.0,0,0,1,450
929,140.0,0,1,0,2000
930,100,1,0,0,3000
931,140.0,0,0,1,550
932,150,0,0,1,550
933,140.0,0,1,0,1400
934,150,0,0,1,700
935,145,0,0,1,650
936,140.0,0,1,0,400
937,140.0,0,1,0,1300
938,60,0,0,1,350
939,150,0,0,1,550
940,140.0,0,0,1,500
941,230,0,0,1,250000
942,140.0,0,0,1,900
943,110,1,0,0,2800
944,110,1,0,0,2800
945,140.0,0,0,1,550
946,160,0,0,1,550
947,50,0,0,1,400
948,130,0,1,0,1500
949,300,0,0,1,800
950,140.0,0,0,1,800
