date,city,status,numberRooms,numberBathrooms,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,featurePlus,status_A,status_B,status_C,status_D,status_E,city_B,city_H,city_J,city_JN,city_JR,city_N,city_Q,city_RB,city_S,city_T,city_TB,MedstatusHouseSpace,city_encoded,price
2020-02-01,1,2,3,3,2,1,1,0,170.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1500
2020-02-01,1,2,3,3,2,1,1,0,160.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1600
2020-02-01,1,2,1,2,1,0,0,0,140.0,0,0,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,400
2020-02-01,1,1,3,2,0,0,0,0,140.0,0,0,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,200
2020-02-01,1,2,5,2,1,0,0,0,120.0,0,1,0,0.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1400
2020-02-01,1,2,3,2,1,1,0,0,140.0,0,1,0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1900
2020-02-01,1,2,3,3,1,1,1,0,155.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-02-01,1,2,1,1,0,1,1,0,20.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-01,1,1,1,1,1,1,1,1,70.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,400
2020-02-04,1,2,3,3,2,1,0,1,185.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1550
2020-02-01,1,2,3,3,1,1,1,1,160.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-01,1,1,1,1,0,1,1,1,140.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-02-01,1,2,2,1,1,0,0,0,130.0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-02-01,1,2,3,3,3,0,0,0,200.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1300
2020-02-01,1,2,1,1,1,1,1,0,140.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,900
